ratingid,movieId,userId,rating,timestamp
1,1,1,5,1147880044
2,2,1,3.5,1147868817
3,3,1,5,1147868828
4,4,1,5,1147878820
5,5,1,3.5,1147868510
6,6,1,4,1147868495
7,7,1,3.5,1147868826
8,8,1,3.5,1147878326
9,9,1,5,1147868839
10,10,1,4,1147868414
11,11,1,3.5,1147877857
12,12,1,4,1147868097
13,13,1,2.5,1147868079
14,14,1,2.5,1147868068
15,15,1,2.5,1147869044
16,16,1,3.5,1147868609
17,17,1,4.5,1147877957
18,18,1,4,1147878923
19,19,1,5,1147878248
20,20,1,5,1147869100
21,21,1,4.5,1147868891
22,22,1,4,1147868480
23,23,1,5,1147879603
24,24,1,5,1147868678
25,25,1,5,1147868898
26,26,1,3,1147868534
27,27,1,5,1147878122
28,28,1,3,1147869048
29,29,1,4,1147869223
30,30,1,4.5,1147869080
31,31,1,4,1147877654
32,32,1,0.5,1147879571
33,33,1,2,1147879797
34,34,1,5,1147878729
35,35,1,4,1147868807
36,36,1,3,1147878698
37,37,1,4,1147868053
38,38,1,5,1147869090
39,39,1,4.5,1147869191
40,40,1,4,1147868469
41,41,1,3.5,1147868461
42,42,1,5,1147868622
43,43,1,3.5,1147869150
44,44,1,4,1147877986
45,45,1,4.5,1147868869
46,46,1,2,1147879850
47,47,1,3.5,1147869119
48,48,1,3.5,1147868855
49,49,1,5,1147880055
50,50,1,4,1147869033
51,51,1,2.5,1147878050
52,52,1,3,1147878055
53,53,1,2.5,1147878063
54,54,1,2.5,1147869183
55,55,1,4.5,1147877967
56,56,1,3.5,1147869155
57,57,1,5,1147868865
58,58,1,5,1147879375
59,59,1,4,1147868682
60,60,1,3.5,1147878095
61,61,1,1,1147878023
62,62,1,3.5,1147878452
63,63,1,4,1147877853
64,64,1,3,1147869094
65,65,1,4,1147869211
66,66,1,3,1147879774
67,67,1,4.5,1147879365
68,68,1,3,1147869115
69,69,1,3.5,1147877610
70,70,1,5,1147879538
71,71,2,3.5,1141415820
72,72,2,0.5,1141417130
73,73,2,5,1141416589
74,74,2,4,1141415790
75,75,2,4.5,1141415643
76,76,2,4,1141415659
77,77,2,5,1141417172
78,78,2,0.5,1141417855
79,79,2,1,1141415926
80,80,2,5,1141417181
81,81,2,5,1141415931
82,82,2,4.5,1141417045
83,83,2,4.5,1141416637
84,84,2,4.5,1141417077
85,85,2,1,1141415808
86,86,2,5,1141416618
87,87,2,2,1141417088
88,88,2,4,1141415566
89,89,2,3.5,1141417112
90,90,2,5,1141415816
92,92,2,4.5,1141417814
93,93,2,2,1141415539
94,94,2,2,1141417189
95,95,2,4,1141416748
96,96,2,3,1141415552
97,97,2,4.5,1141415905
98,98,2,3.5,1141416926
99,99,2,4,1141417642
100,100,2,4.5,1141417487
