scoreid,movieId,tagId,relevance
1,1,1,0.02875
2,1,2,0.02375
3,1,3,0.0625
4,1,4,0.07575
5,1,5,0.14075
6,1,6,0.14675
7,1,7,0.0635
8,1,8,0.20375
9,1,9,0.202
10,1,10,0.03075
11,1,11,0.58025
12,1,12,0.1025
13,1,13,0.20175
14,1,14,0.007
15,1,15,0.0245
16,1,16,0.17275
17,1,17,0.0165
18,1,18,0.104
19,1,19,0.6625
20,1,20,0.30075
21,1,21,0.31675
22,1,22,0.286
23,1,23,0.06275
24,1,24,0.01925
25,1,25,0.05875
26,1,26,0.07925
27,1,27,0.1965
28,1,28,0.09325
29,1,29,0.89375
30,1,30,0.67625
31,1,31,0.03575
32,1,32,0.23325
33,1,33,0.3075
34,1,34,0.0545
35,1,35,0.038
36,1,36,0.212
37,1,37,0.08
38,1,38,0.0155
39,1,39,0.0195
40,1,40,0.01925
41,1,41,0.015
42,1,42,0.03
43,1,43,0.09075
44,1,44,0.0225
45,1,45,0.246
46,1,46,0.246
47,1,47,0.0105
48,1,48,0.16675
49,1,49,0.2935
50,1,50,0.15
51,1,51,0.26775
52,1,52,0.186
53,1,53,0.25725
54,1,54,0.15
55,1,55,0.2205
56,1,56,0.01425
57,1,57,0.02425
58,1,58,0.02925
59,1,59,0.08425
60,1,60,0.03375
61,1,61,0.6175
62,1,62,0.63
63,1,63,0.94725
64,1,64,0.98425
65,1,65,0.09975
66,1,66,0.0415
67,1,67,0.135
68,1,68,0.034
69,1,69,0.01825
70,1,70,0.14525
71,1,71,0.01675
72,1,72,0.018
73,1,73,0.0595
74,1,74,0.00975
75,1,75,0.20125
76,1,76,0.01675
77,1,77,0.05925
78,1,78,0.038
79,1,79,0.32925
80,1,80,0.02875
81,1,81,0.062
82,1,82,0.087
83,1,83,0.036
84,1,84,0.30475
85,1,85,0.068
86,1,86,0.33625
87,1,87,0.0365
88,1,88,0.00575
89,1,89,0.00675
90,1,90,0.05275
91,1,92,0.03325
92,1,92,0.02075
93,1,93,0.3435
94,1,94,0.36225
95,1,95,0.074
96,1,96,0.06625
97,1,97,0.08175
98,1,98,0.064
99,1,99,0.12525
