tagsid,userId,movieId,tag,timestamp
1,1,1,7,1439472355
2,1,2,007 (series),1439472256
3,1,3,18th century,1573943598
4,1,4,1920s,1573943604
5,1,5,1930s,1573943455
6,1,6,1950s,1573943619
7,1,7,1960s,1573943077
8,1,8,1970s,1573942979
9,1,9,1980s,1573943033
10,1,10,19th century,1573943042
11,1,11,3d,1573942965
12,1,12,70mm,1573943721
13,1,13,80s,1573943714
14,1,14,11-Sep,1573945163
15,1,15,aardman,1573945171
16,1,16,aardman studios,1446909853
17,1,17,abortion,1445286141
18,1,18,absurd,1445286127
19,1,19,action,1445286153
20,1,20,action packed,1445286144
21,1,21,adaptation,1445286120
22,1,22,adapted from:book,1445286148
23,1,23,adapted from:comic,1445286136
24,1,24,adapted from:game,1155082282
25,1,25,addiction,1170492549
26,1,26,adolescence,1472113217
27,1,27,adoption,1549387440
28,1,28,adultery,1549387437
29,1,29,adventure,1549387432
30,1,30,affectionate,1542308477
31,1,31,afi 100,1542308501
32,1,32,afi 100 (laughs),1542308487
33,1,33,afi 100 (movie quotes),1542308468
34,1,34,africa,1542308492
35,1,35,afterlife,1542308483
36,1,36,aging,1542308464
37,1,37,aids,1542309549
38,1,38,airplane,1542309703
39,1,39,airport,1542309595
40,1,40,alaska,1542309599
41,1,41,alcatraz,1542309536
42,1,42,alcoholism,1542309735
43,1,43,alien,1542309532
44,1,44,alien invasion,1542308389
45,1,45,aliens,1542308408
46,1,46,allegory,1542308395
47,1,47,almodovar,1522675497
48,1,48,alone in the world,1522677007
49,1,49,alter ego,1522677058
50,1,50,alternate endings,1522677043
51,1,51,alternate history,1522676752
52,1,52,alternate reality,1522676693
53,1,53,alternate universe,1522676679
54,1,54,amazing cinematography,1522676687
55,1,55,amazing photography,1522676660
56,1,56,american civil war,1522676703
57,1,57,amnesia,1522676664
58,1,58,amy smart,1522676685
59,1,59,android(s)/cyborg(s),1522676667
60,1,60,androids,1522676682
61,1,61,animal movie,1415131183
62,1,62,animals,1415914643
63,1,63,animated,1415131159
64,1,64,animation,1415131169
65,1,65,anime,1415131180
66,1,66,antarctica,1415131196
67,1,67,anti-hero,1415131228
68,1,68,anti-semitism,1415131215
69,1,69,anti-war,1415914797
70,1,70,apocalypse,1415131174
71,2,71,archaeology,1415131173
72,2,72,argentina,1415131203
73,2,73,arms dealer,1415914755
74,2,74,arnold,1415914789
75,2,75,art,1414248567
76,2,76,art house,1414248543
77,2,77,artificial intelligence,1414248546
78,2,78,artist,1414248582
79,2,79,artistic,1414248538
80,2,80,artsy,1414248604
81,2,81,assassin,1414248535
82,2,82,assassination,1414248586
83,2,83,assassins,1414248596
84,2,84,astronauts,1389309614
85,2,85,atheism,1389309619
86,2,86,atmospheric,1389309592
87,2,87,australia,1389309596
88,2,88,australian,1389309610
89,2,89,author:alan moore,1389309607
90,2,90,author:neil gaiman,1414932665
92,2,92,autism,1414932650
93,2,93,aviation,1414932654
94,2,94,awesome,1414932717
95,2,95,awesome soundtrack,1414932657
96,2,96,awful,1414932635
97,2,97,bad,1414932660
98,2,98,bad acting,1414932679
99,2,99,bad cgi,1414932683
100,2,100,bad ending,1414932700
